scaled_Dt,scaled_x,normalized_c
1,3.862464183381088,0.003155451227335515
4,-4.0,0.9213503964748575
4,-3.839541547277937,0.9126860935284818
4,-3.679083094555874,0.903328373376171
4,-3.518624641833811,0.8932542066438944
4,-3.358166189111748,0.8824435799123713
4,-3.1977077363896846,0.8708799211568898
4,-3.037249283667622,0.8585505104755078
4,-2.8767908309455588,0.8454468682367351
4,-2.7163323782234956,0.8315651126799284
4,-2.555873925501433,0.81690627908182
4,-2.3954154727793697,0.8014765928705154
4,-2.2349570200573066,0.7852876895285924
4,-2.074498567335244,0.7683567747788986
4,-1.9140401146131807,0.7507067193837942
4,-1.7535816618911175,0.7323660838986398
4,-1.5931232091690544,0.7133690698852608
4,-1.4326647564469916,0.6937553953874944
4,-1.2722063037249285,0.673570093870376
4,-1.1117478510028653,0.6528632372945511
4,-0.9512893982808022,0.6316895855022597
4,-0.7908309455587395,0.6101081655927043
4,-0.6303724928366763,0.5881817864236387
4,-0.46991404011461313,0.565976494753657
4,-0.3094555873925504,0.5435609807983814
4,-0.14899713467048725,0.5210059420787124
4,0.011461318051575908,0.49838341535950875
4,0.17191977077363862,0.4757660871864518
4,0.33237822349570223,0.45322659400714954
4,0.49283667621776495,0.43083682309603344
4,0.6532951289398277,0.4086672254845617
4,0.8137535816618913,0.3867861518292016
4,0.974212034383954,0.3652592216373445
4,1.1346704871060167,0.34414873553042336
4,1.2951289398280803,0.3235131392751816
4,1.455587392550143,0.303406547185113
4,1.6160458452722057,0.28387833121617234
4,1.7765042979942693,0.2649727806892491
4,1.936962750716332,0.24672883610439938
4,2.0974212034383957,0.2291798990075154
4,2.2578796561604584,0.21235371836802258
4,2.418338108882521,0.19627235246412095
4,2.5787965616045847,0.18095220388545802
4,2.7392550143266474,0.16640412398389637
4,2.89971346704871,0.15263358195891874
4,3.0601719197707737,0.13964089277789005
4,3.2206303724928365,0.12742149732008257
4,3.381088825214899,0.11596628750852744
4,3.541547277936963,0.10526196876102845
4,3.7020057306590255,0.0952914518509837
4,3.862464183381088,0.08603426621460797
